topic,event
TRAFFIC,Accident on Highway 1
TRAFFIC,Heavy traffic on Main Street
TRAFFIC,Construction on Bridge Avenue
WEATHER,Rain expected tomorrow
WEATHER,Sunny day forecasted
WEATHER,Storm warning issued
EMERGENCY,Fire in downtown
EMERGENCY,Gas leak in residential area
EMERGENCY,Earthquake detected
TRAFFIC,Car breakdown on Elm Street
TRAFFIC,Traffic light malfunction at 5th Avenue
TRAFFIC,Pedestrian accident on Oak Road
WEATHER,Heatwave alert
WEATHER,Cold front moving in
WEATHER,Foggy conditions expected
EMERGENCY,Building collapse reported
EMERGENCY,Medical emergency at Central Park
EMERGENCY,Power outage in city center
TRAFFIC,Accident on Highway 2
TRAFFIC,Traffic jam near the airport
TRAFFIC,New traffic rules implemented
WEATHER,Light showers in the evening
WEATHER,Windy conditions expected
WEATHER,Hailstorm warning issued
EMERGENCY,Explosion in industrial area
EMERGENCY,Rescue operation ongoing
EMERGENCY,Evacuation due to flooding
TRAFFIC,Accident on Highway 3
TRAFFIC,Traffic congestion on Maple Avenue
TRAFFIC,New parking regulations announced

